"filename", "language", "TypeScript JSX", "TypeScript", "XML", "comment", "blank", "total"
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/authorization/useResendEmialConfirmation.tsx", "TypeScript JSX", 37, 0, 0, 0, 3, 40
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/authorization/useSignIn.tsx", "TypeScript JSX", 59, 0, 0, 0, 8, 67
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/authorization/useSignUp.tsx", "TypeScript JSX", 71, 0, 0, 0, 10, 81
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/main/useGetSubscribersPosts.tsx", "TypeScript JSX", 49, 0, 0, 2, 7, 58
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/messanger/useCreateConversation.tsx", "TypeScript JSX", 32, 0, 0, 0, 6, 38
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/messanger/useGetConversationsAndMessages.tsx", "TypeScript JSX", 61, 0, 0, 2, 6, 69
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/messanger/useMessageLoad.tsx", "TypeScript JSX", 38, 0, 0, 0, 3, 41
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/messanger/useSendFile.tsx", "TypeScript JSX", 48, 0, 0, 0, 5, 53
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/profile/useGetPosts.tsx", "TypeScript JSX", 31, 0, 0, 0, 3, 34
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/profile/useGetProfileInfo.tsx", "TypeScript JSX", 24, 0, 0, 0, 4, 28
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/useFetch.tsx", "TypeScript JSX", 36, 0, 0, 0, 11, 47
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/users/useGetUsers.tsx", "TypeScript JSX", 64, 0, 0, 0, 8, 72
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/useDarkMode.tsx", "TypeScript JSX", 21, 0, 0, 0, 6, 27
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/useOutsideAlerter.tsx", "TypeScript JSX", 14, 0, 0, 0, 2, 16
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/useResize.tsx", "TypeScript JSX", 12, 0, 0, 0, 2, 14
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/useSocketSetup.tsx", "TypeScript JSX", 73, 0, 0, 1, 10, 84
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/index.tsx", "TypeScript JSX", 25, 0, 0, 2, 3, 30
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/lib/errors/Errors.tsx", "TypeScript JSX", 3, 0, 0, 0, 0, 3
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/lib/likes/like.tsx", "TypeScript JSX", 25, 0, 0, 3, 4, 32
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/lib/main/generateMasonryGrid.tsx", "TypeScript JSX", 52, 0, 0, 0, 4, 56
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/lib/messanger/installFile.tsx", "TypeScript JSX", 36, 0, 0, 0, 1, 37
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/lib/messanger/sendMessage.tsx", "TypeScript JSX", 31, 0, 0, 0, 8, 39
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/lib/messanger/useCreateOrGetConversation.tsx", "TypeScript JSX", 29, 0, 0, 3, 1, 33
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/otherFiles/leftArrow.svg", "XML", 0, 0, 42, 1, 1, 44
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/otherFiles/messangerIcon.svg", "XML", 0, 0, 49, 1, 1, 51
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Account/Account.tsx", "TypeScript JSX", 46, 0, 0, 0, 5, 51
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Account/AccountPostsContainer.tsx", "TypeScript JSX", 50, 0, 0, 0, 9, 59
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/EmailConfirmation.tsx", "TypeScript JSX", 64, 0, 0, 0, 12, 76
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Friends/FriendsContainer.tsx", "TypeScript JSX", 55, 0, 0, 0, 5, 60
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Friends/FriendsPresentational.tsx", "TypeScript JSX", 57, 0, 0, 0, 7, 64
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Login/LoginContainer.tsx", "TypeScript JSX", 60, 0, 0, 0, 5, 65
