"filename", "language", "TypeScript JSX", "TypeScript React", "JSON with Comments", "JSON", "CSS", "Properties", "HTML", "Markdown", "comment", "blank", "total"
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/lib/main/generateMasonryGrid.tsx", "TypeScript JSX", 45, 0, 0, 0, 0, 0, 0, 0, 0, 3, 48
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/lib/messanger/installFile.tsx", "TypeScript JSX", 32, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/EmailConfirmation.tsx", "TypeScript JSX", -10, 0, 0, 0, 0, 0, 0, 0, -1, -2, -13
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Login/LoginContainer.tsx", "TypeScript JSX", -26, 0, 0, 0, 0, 0, 0, 0, 0, -3, -29
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Login/LoginPresentational.tsx", "TypeScript JSX", -58, 0, 0, 0, 0, 0, 0, 0, 0, -8, -66
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Main/MainContainer.tsx", "TypeScript JSX", -36, 0, 0, 0, 0, 0, 0, 0, -1, -4, -41
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Main/MainPresentational.tsx", "TypeScript JSX", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/PasswordReset.tsx", "TypeScript JSX", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/PasswordResetRequest.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Registration/RegistrationContainer.tsx", "TypeScript JSX", -20, 0, 0, 0, 0, 0, 0, 0, 0, -1, -21
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Registration/RegistrationPresentational.tsx", "TypeScript JSX", -14, 0, 0, 0, 0, 0, 0, 0, 0, 0, -14
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/tsconfig.json", "JSON with Comments", 0, 0, -30, 0, 0, 0, 0, 0, 0, -1, -31
"Total", "-", 941, -159, -30, -26989, -6, -5, -15, -26, -52, 66, -26275
