"filename", "language", "TypeScript React", "XML", "TypeScript", "JSON", "JSON with Comments", "CSS", "Properties", "HTML", "Markdown", "comment", "blank", "total"
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Friends/FriendsContainer.tsx", "TypeScript React", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 58
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Friends/FriendsPresentational.tsx", "TypeScript React", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 64
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Login/LoginContainer.tsx", "TypeScript React", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 94
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Login/LoginPresentational.tsx", "TypeScript React", 258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 280
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Main/MainContainer.tsx", "TypeScript React", 82, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 96
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Main/MainPresentational.tsx", "TypeScript React", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 37
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Messanger.tsx", "TypeScript React", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 51
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/NotFound.tsx", "TypeScript React", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/PasswordReset.tsx", "TypeScript React", 133, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 151
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/PasswordResetRequest.tsx", "TypeScript React", 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 135
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Profile/ProfileContainer.tsx", "TypeScript React", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 52
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Profile/ProfilePresentational.tsx", "TypeScript React", 104, 0, 0, 0, 0, 0, 0, 0, 0, 26, 11, 141
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Registration/RegistrationContainer.tsx", "TypeScript React", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 101
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Registration/RegistrationPresentational.tsx", "TypeScript React", 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 209
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/socket.tsx", "TypeScript React", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 1, 31
"Total", "-", 4198, 91, 4, 26994, 30, 6, 5, 15, 26, 153, 547, 32069
