"filename", "language", "JavaScript", "Pug", "JSON", "TypeScript JSX", "TypeScript", "XML", "comment", "blank", "total"
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/features/posts/followingsPostsSlice.tsx", "TypeScript JSX", 0, 0, 0, -76, 0, 0, -1, -8, -85
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/features/posts/userPostsSlice.tsx", "TypeScript JSX", 0, 0, 0, -70, 0, 0, -1, -7, -78
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/features/user/userSlice.tsx", "TypeScript JSX", 0, 0, 0, -36, 0, 0, -1, -7, -44
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hocs/PrivateMessageRoute.tsx", "TypeScript JSX", 0, 0, 0, -34, 0, 0, 0, -8, -42
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hocs/PrivateRoute.tsx", "TypeScript JSX", 0, 0, 0, -31, 0, 0, -1, -9, -41
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/authorization/useIsLogedIn.tsx", "TypeScript JSX", 0, 0, 0, -50, 0, 0, 0, -6, -56
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/authorization/useResendEmialConfirmation.tsx", "TypeScript JSX", 0, 0, 0, -37, 0, 0, 0, -3, -40
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/authorization/useSignIn.tsx", "TypeScript JSX", 0, 0, 0, -59, 0, 0, 0, -8, -67
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/authorization/useSignUp.tsx", "TypeScript JSX", 0, 0, 0, -71, 0, 0, 0, -10, -81
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/main/useGetSubscribersPosts.tsx", "TypeScript JSX", 0, 0, 0, -50, 0, 0, 0, -7, -57
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/messanger/useCreateConversation.tsx", "TypeScript JSX", 0, 0, 0, -32, 0, 0, 0, -6, -38
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/messanger/useGetConversationsAndMessages.tsx", "TypeScript JSX", 0, 0, 0, -63, 0, 0, 0, -6, -69
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/messanger/useMessageLoad.tsx", "TypeScript JSX", 0, 0, 0, -38, 0, 0, 0, -3, -41
